scenario_idx,scenario_total,scenario_id,source_log,base_uv,final_uv,full_restoration,uv_reduced,stop_reason,final_vmin,final_deficit,last_logged_uv,llm_direct,llm_guided_refinement,safety_fallback_physics_refinement,actions
1,141,fed_combined_load_1p25_line_101_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,8,0,True,True,full_restoration,0.952,0.0,0.0,2,0,3,5
2,141,fed_combined_load_1p25_line_127_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,2,1,3,6
3,141,fed_combined_load_1p25_line_128_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,1,False,True,max_iterations_reached,0.9476,0.00245,1.0,7,1,2,10
4,141,fed_combined_load_1p25_line_129_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,2,1,2,5
5,141,fed_combined_load_1p25_line_135_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,4,1,3,8
6,141,fed_combined_load_1p25_line_136_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,max_iterations_reached,0.9464,0.00358,1.0,6,2,2,10
7,141,fed_combined_load_1p25_line_138_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,2,0,3,5
8,141,fed_combined_load_1p25_line_139_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,4,2,3,9
9,141,fed_combined_load_1p25_line_140_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,5,1,3,9
10,141,fed_combined_load_1p25_line_165_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,1,1,3,5
11,141,fed_combined_load_1p25_line_166_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,3,0,3,6
12,141,fed_combined_load_1p25_line_167_MG2,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.9517,0.0,0.0,3,0,3,6
13,141,fed_combined_load_1p25_line_168_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,11,0,True,True,full_restoration,0.9508,0.0,0.0,1,0,4,5
14,141,fed_combined_load_1p25_line_170_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,max_iterations_reached,,,,6,1,3,10
15,141,fed_combined_load_1p25_line_171_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,7,0,True,True,full_restoration,0.9504,0.0,0.0,2,2,2,6
16,141,fed_combined_load_1p25_line_172_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,5,1,3,9
17,141,fed_combined_load_1p25_line_35_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,3,0,2,5
