path,matched_texts,hit_rows,filename,dir,bucket,priority,repo_dest,path_score
/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v4_safety_envelope/reflection_v4_safety_envelope_20260603_173751/reflection_v4_safety_envelope_per_scenario_results.csv,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct,9,reflection_v4_safety_envelope_per_scenario_results.csv,/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v4_safety_envelope/reflection_v4_safety_envelope_20260603_173751,KEEP_reflection_v4_per_scenario,100,results/reflection_v4_residual_cases/,15
/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v4_safety_envelope/reflection_v4_safety_envelope_20260603_173751/reflection_v4_safety_envelope_all_results.json,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; llm_direct; llm_guided_refinement; safety_fallback_physics_refinement,9,reflection_v4_safety_envelope_all_results.json,/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v4_safety_envelope/reflection_v4_safety_envelope_20260603_173751,KEEP_reflection_v4_all_results,100,results/reflection_v4_residual_cases/,15
/content/run_reflection_v4_safety_envelope/phase2g_stats_corrected_min_cases/phase2g_stats_corrected_min_cases/selected_phase2g_per_scenario.csv,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct; llm_guided_refinement; safety_fallback_physics_refinement,11,selected_phase2g_per_scenario.csv,/content/run_reflection_v4_safety_envelope/phase2g_stats_corrected_min_cases/phase2g_stats_corrected_min_cases,KEEP_phase2g_selected_61,100,results/complete_case_61_statistics/,30
/content/run_reflection_v4_safety_envelope/phase2g_stats_corrected_min_cases/phase2g_stats_corrected_min_cases/matched_phase2g_vs_v2b_v2r_router_raw.csv,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct; llm_guided_refinement; safety_fallback_physics_refinement,11,matched_phase2g_vs_v2b_v2r_router_raw.csv,/content/run_reflection_v4_safety_envelope/phase2g_stats_corrected_min_cases/phase2g_stats_corrected_min_cases,KEEP_phase2g_matched_raw_61,100,results/complete_case_61_statistics/,30
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/final_verified_router/phase2d_final_verified_router_vs_v2b_v2r.csv,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv,7,phase2d_final_verified_router_vs_v2b_v2r.csv,/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/final_verified_router,KEEP_broad_137_router_vs_v2b_v2r,100,results/broad_137_controller_progression/,15
/content/drive/MyDrive/run_reflection_v4_safety_envelope.py,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct; llm_guided_refinement; safety_fallback_physics_refinement,11,run_reflection_v4_safety_envelope.py,/content/drive/MyDrive,KEEP_script_reflection_v4,95,scripts/,35
/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v4_safety_envelope/reflection_v4_safety_envelope_20260603_173751/reflection_v4_candidate_branches.csv,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct,9,reflection_v4_candidate_branches.csv,/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v4_safety_envelope/reflection_v4_safety_envelope_20260603_173751,KEEP_reflection_v4_candidate_branches,95,results/reflection_v4_residual_cases/,15
/content/run_reflection_v4_safety_envelope/phase2g_stats_corrected_min_cases/phase2g_stats_corrected_min_cases/comparison_with_reconstructed_router.csv,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv,7,comparison_with_reconstructed_router.csv,/content/run_reflection_v4_safety_envelope/phase2g_stats_corrected_min_cases/phase2g_stats_corrected_min_cases,KEEP_phase2g_comparison_router,95,results/complete_case_61_statistics/,30
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/valid_v2r_rag_taboo/phase2d_v2r_vs_v2b_STRICT_VALIDATED.csv,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv,7,phase2d_v2r_vs_v2b_STRICT_VALIDATED.csv,/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/valid_v2r_rag_taboo,KEEP_broad_137_v2r_strict,95,results/broad_137_controller_progression/,15
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/v2b_deficit_aware_backbone/phase2d_v2b_scenario_results.csv,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3,6,phase2d_v2b_scenario_results.csv,/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/v2b_deficit_aware_backbone,KEEP_broad_137_v2b,95,results/broad_137_controller_progression/,15
