source,destination,bucket,matched_texts,md5
/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v4_safety_envelope/reflection_v4_safety_envelope_20260603_173751/reflection_v4_safety_envelope_per_scenario_results.csv,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/reflection_v4_residual_cases/reflection_v4_safety_envelope_per_scenario_results.csv,KEEP_reflection_v4_per_scenario,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct,4c94ec0595e1965cef56e2bdf6503eeb
/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v4_safety_envelope/reflection_v4_safety_envelope_20260603_173751/reflection_v4_safety_envelope_all_results.json,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/reflection_v4_residual_cases/reflection_v4_safety_envelope_all_results.json,KEEP_reflection_v4_all_results,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; llm_direct; llm_guided_refinement; safety_fallback_physics_refinement,5b123913eba36b60dad2dc4eceec694e
/content/run_reflection_v4_safety_envelope/phase2g_stats_corrected_min_cases/phase2g_stats_corrected_min_cases/selected_phase2g_per_scenario.csv,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/complete_case_61_statistics/selected_phase2g_per_scenario.csv,KEEP_phase2g_selected_61,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct; llm_guided_refinement; safety_fallback_physics_refinement,0253df03870ca4fc24eb75cf4bf09b38
/content/run_reflection_v4_safety_envelope/phase2g_stats_corrected_min_cases/phase2g_stats_corrected_min_cases/matched_phase2g_vs_v2b_v2r_router_raw.csv,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/complete_case_61_statistics/matched_phase2g_vs_v2b_v2r_router_raw.csv,KEEP_phase2g_matched_raw_61,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct; llm_guided_refinement; safety_fallback_physics_refinement,10079b2ebfaf5f751e0c41174992cb5e
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/final_verified_router/phase2d_final_verified_router_vs_v2b_v2r.csv,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/broad_137_controller_progression/phase2d_final_verified_router_vs_v2b_v2r.csv,KEEP_broad_137_router_vs_v2b_v2r,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv,4642e70df96db9091290093a29813cec
/content/drive/MyDrive/run_reflection_v4_safety_envelope.py,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/scripts/run_reflection_v4_safety_envelope.py,KEEP_script_reflection_v4,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct; llm_guided_refinement; safety_fallback_physics_refinement,b2c183a473a871fc56f4de5e3bbeddf0
/content/run_reflection_v4_safety_envelope/today_experiment_bundle_20260603_182357/today_experiment_bundle/reflection_v4_safety_envelope/reflection_v4_safety_envelope_20260603_173751/reflection_v4_candidate_branches.csv,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/reflection_v4_residual_cases/reflection_v4_candidate_branches.csv,KEEP_reflection_v4_candidate_branches,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv; final_vmin; llm_direct,9827f55b3b942b56798577432f4631b4
/content/run_reflection_v4_safety_envelope/phase2g_stats_corrected_min_cases/phase2g_stats_corrected_min_cases/comparison_with_reconstructed_router.csv,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/complete_case_61_statistics/comparison_with_reconstructed_router.csv,KEEP_phase2g_comparison_router,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv,5c4475c55fd021fe80008d5a6bbe66cc
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/valid_v2r_rag_taboo/phase2d_v2r_vs_v2b_STRICT_VALIDATED.csv,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/broad_137_controller_progression/phase2d_v2r_vs_v2b_STRICT_VALIDATED.csv,KEEP_broad_137_v2r_strict,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3; final_uv,d09cf41e78cf111ed2571306de47abc4
/content/FROZEN_FINAL_HIERGRID_PHASE2_20260516_094203/v2b_deficit_aware_backbone/phase2d_v2b_scenario_results.csv,/content/drive/MyDrive/hiergrid-ieee118-voltage-recovery/results/broad_137_controller_progression/phase2d_v2b_scenario_results.csv,KEEP_broad_137_v2b,deficit; fed_combined_load_1p5_line_101_MG1; fed_combined_load_1p5_line_127_MG3; fed_combined_load_1p5_line_128_MG3; fed_combined_load_1p5_line_129_MG3; fed_combined_load_1p5_line_135_MG3,0040847130dcc361dc350c197d6d8a4e
