scenario_idx,scenario_total,scenario_id,source_log,base_uv,final_uv,full_restoration,uv_reduced,stop_reason,final_vmin,final_deficit,last_logged_uv,llm_direct,llm_guided_refinement,safety_fallback_physics_refinement,actions,v2b_base_vm_min,v2r_base_vm_min,base_vm_min_diff,v2b_base_uv,v2r_base_uv,base_uv_diff,v2b_final_vm_min,v2r_final_vm_min,delta_final_vm_min,v2b_final_uv,v2r_final_uv,delta_final_uv,v2b_final_deficit,v2r_final_deficit,delta_final_deficit,v2b_termination,v2r_termination,v2b_final_vm_max_pu,v2r_final_vm_max_pu,delta_final_vm_max_pu,v2b_final_n_overvoltage,v2r_final_n_overvoltage,delta_final_n_overvoltage,v2b_final_line_loading_max_pct,v2r_final_line_loading_max_pct,delta_final_line_loading_max_pct,v2b_final_trafo_loading_max_pct,v2r_final_trafo_loading_max_pct,delta_final_trafo_loading_max_pct,v2b_final_n_overloaded_lines,v2r_final_n_overloaded_lines,delta_final_n_overloaded_lines,v2b_final_n_overloaded_trafos,v2r_final_n_overloaded_trafos,delta_final_n_overloaded_trafos,choose_v2r,router_method,router_final_uv,router_final_vm_min,router_final_deficit,_merge,2g_le_v2b,2g_le_v2r,2g_le_router,2g_lt_v2b,2g_lt_v2r,2g_lt_router
1,141,fed_combined_load_1p25_line_101_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,8,0,True,True,full_restoration,0.952,0.0,0.0,2,0,3,5,0.9272108217802724,0.9272108217802724,0.0,8.0,8.0,0.0,0.9442259207398096,0.950593466205468,0.0063675454656584,1.0,0.0,-1.0,0.0057740792601904,0.0,-0.0057740792601904,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056155,4.475087324056158,3.552713678800501e-15,6.853608059902603,6.8952846050575385,0.0416765451549352,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.950593466205468,0.0,both,True,True,True,True,False,False
2,141,fed_combined_load_1p25_line_127_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,2,1,3,6,0.9266204258906112,0.9266204258906112,0.0,9.0,9.0,0.0,0.9473125678296028,0.9501203904669266,0.0028078226373238,1.0,0.0,-1.0,0.0026874321703971,0.0,-0.0026874321703971,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056159,4.475087324056156,-2.664535259100376e-15,6.72682355714906,6.7482014820478495,0.0213779248987897,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9501203904669266,0.0,both,True,True,True,True,False,False
3,141,fed_combined_load_1p25_line_128_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,1,False,True,max_iterations_reached,0.9476,0.00245,1.0,7,1,2,10,0.9259926081157956,0.9259926081157956,0.0,9.0,9.0,0.0,0.9430000000000002,0.950147822479902,0.0071478224799018,4.0,0.0,-4.0,0.0134827079490439,0.0,-0.0134827079490439,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.0499999999999998,1.05,2.220446049250313e-16,0.0,0.0,0.0,4.475087324056161,4.475087324056155,-6.217248937900877e-15,6.813833152535185,6.827190831387954,0.0133576788527687,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.950147822479902,0.0,both,True,False,False,True,False,False
4,141,fed_combined_load_1p25_line_129_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,2,1,2,5,0.9265939824758096,0.9265939824758096,0.0,9.0,9.0,0.0,0.9463866087231048,0.9501239506833764,0.0037373419602716,2.0,0.0,-2.0,0.0044419864749246,0.0,-0.0044419864749246,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056156,4.475087324056156,0.0,6.733165697756811,6.756319775638888,0.0231540778820766,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9501239506833764,0.0,both,True,True,True,True,False,False
5,141,fed_combined_load_1p25_line_135_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,4,1,3,8,0.9251901911597568,0.9251901911597568,0.0,9.0,9.0,0.0,0.9464797983818616,0.950100159657272,0.0036203612754104,2.0,0.0,-2.0,0.0042865543227299,0.0,-0.0042865543227299,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056162,4.475087324056159,-2.664535259100376e-15,6.712664079065761,6.734609097776373,0.0219450187106113,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.950100159657272,0.0,both,True,True,True,True,False,False
6,141,fed_combined_load_1p25_line_136_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,max_iterations_reached,0.9464,0.00358,1.0,6,2,2,10,0.9258262808606194,0.9258262808606194,0.0,9.0,9.0,0.0,0.9463313207741092,0.9501282262169076,0.0037969054427984,2.0,0.0,-2.0,0.0045341942224021,0.0,-0.0045341942224021,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056151,4.475087324056153,1.7763568394002505e-15,6.743069709354431,6.758716910790715,0.0156472014362831,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9501282262169076,0.0,both,True,True,True,True,False,False
7,141,fed_combined_load_1p25_line_138_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,2,0,3,5,0.924861812228544,0.924861812228544,0.0,9.0,9.0,0.0,0.946328373259442,0.950097100815114,0.003768727555672,3.0,0.0,-3.0,0.0049434654925305,0.0,-0.0049434654925305,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056157,4.47508732405616,2.664535259100376e-15,6.695245913019532,6.734546343733001,0.0393004307134692,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.950097100815114,0.0,both,True,True,True,True,False,False
8,141,fed_combined_load_1p25_line_139_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,4,2,3,9,0.9259199112197484,0.9259199112197484,0.0,9.0,9.0,0.0,0.9465787382463586,0.950106152359652,0.0035274141132933,3.0,0.0,-3.0,0.0068839617329874,0.0,-0.0068839617329874,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.05,0.0,0.0,0.0,0.0,4.475087324056161,4.475087324056157,-3.552713678800501e-15,6.768926717976327,6.753190421879738,-0.0157362960965885,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.950106152359652,0.0,both,True,True,True,True,False,False
9,141,fed_combined_load_1p25_line_140_MG3,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,5,1,3,9,0.9261126941974912,0.9261126941974912,0.0,9.0,9.0,0.0,0.9485339114276984,0.9501075635933393,0.0015736521656408,1.0,0.0,-1.0,0.0014660885723014,0.0,-0.0014660885723014,stopped_no_deficit_reducing_safe_action_found,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.475087324056156,4.475087324056164,7.993605777301127e-15,6.750778788196336,6.748804886854335,-0.0019739013420014,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9501075635933393,0.0,both,True,True,True,True,False,False
10,141,fed_combined_load_1p25_line_165_MG1,/content/extracted_archives/phase2g_ITER25_resume_pack_20260524_130703/phase2g_ITER25_resume_pack_20260524_130703/logs/phase2g_llm_guided_rescue_full.log,9,0,True,True,full_restoration,0.952,0.0,0.0,1,1,3,5,0.9266686870390416,0.9266686870390416,0.0,9.0,9.0,0.0,0.9507944489391228,0.9508062096019264,1.1760662803617096e-05,0.0,0.0,0.0,0.0,0.0,0.0,success_all_voltages_above_vmin,success_all_voltages_above_vmin,1.05,1.0500000000000005,4.440892098500626e-16,0.0,0.0,0.0,4.47508732405616,4.47508732405616,0.0,6.723217788598405,6.742938885634511,0.0197210970361059,0.0,0.0,0.0,0.0,0.0,0.0,True,v2R,0.0,0.9508062096019264,0.0,both,True,True,True,False,False,False
